Rank,Player Name,State,Country,Email_Id,Ranking Points,Ranking Year,Last Updated
29,US Player 086,Texas,US,us.player086@carromus.org,2228,2025,2025-05-01T12:00:00Z
30,US Player 087,Florida,US,us.player087@carromus.org,2219,2025,2025-06-02T12:00:00Z
31,US Player 088,NewYork,US,us.player088@carromus.org,2210,2025,2025-07-03T12:00:00Z
32,US Player 089,Illinois,US,us.player089@carromus.org,2201,2025,2025-08-04T12:00:00Z
33,US Player 090,Georgia,US,us.player090@carromus.org,2192,2025,2025-09-05T12:00:00Z
34,US Player 091,Arizona,US,us.player091@carromus.org,2183,2025,2025-10-06T12:00:00Z
35,US Player 092,Ohio,US,us.player092@carromus.org,2174,2025,2025-11-07T12:00:00Z
36,US Player 093,Washington,US,us.player093@carromus.org,2165,2025,2025-12-08T12:00:00Z
37,US Player 094,Colorado,US,us.player094@carromus.org,2156,2025,2025-01-09T12:00:00Z
38,US Player 095,Virginia,US,us.player095@carromus.org,2147,2025,2025-02-10T12:00:00Z
39,US Player 096,Michigan,US,us.player096@carromus.org,2138,2025,2025-03-11T12:00:00Z
40,US Player 097,California,US,us.player097@carromus.org,2129,2025,2025-04-12T12:00:00Z
41,US Player 098,Texas,US,us.player098@carromus.org,2120,2025,2025-05-13T12:00:00Z
42,US Player 099,Florida,US,us.player099@carromus.org,2111,2025,2025-06-14T12:00:00Z
43,US Player 100,NewYork,US,us.player100@carromus.org,2102,2025,2025-07-15T12:00:00Z
44,US Player 003,Florida,US,us.player003@carromus.org,2093,2025,2025-08-16T12:00:00Z
45,US Player 004,NewYork,US,us.player004@carromus.org,2084,2025,2025-09-17T12:00:00Z
46,US Player 005,Illinois,US,us.player005@carromus.org,2075,2025,2025-10-18T12:00:00Z
47,US Player 006,Georgia,US,us.player006@carromus.org,2066,2025,2025-11-19T12:00:00Z
48,US Player 007,Arizona,US,us.player007@carromus.org,2057,2025,2025-12-20T12:00:00Z
49,US Player 008,Ohio,US,us.player008@carromus.org,2048,2025,2025-01-21T12:00:00Z
50,US Player 009,Washington,US,us.player009@carromus.org,2039,2025,2025-02-22T12:00:00Z
51,US Player 010,Colorado,US,us.player010@carromus.org,2030,2025,2025-03-23T12:00:00Z
52,US Player 011,Virginia,US,us.player011@carromus.org,2021,2025,2025-04-24T12:00:00Z
53,US Player 012,Michigan,US,us.player012@carromus.org,2012,2025,2025-05-25T12:00:00Z
54,US Player 013,California,US,us.player013@carromus.org,2003,2025,2025-06-26T12:00:00Z
55,US Player 014,Texas,US,us.player014@carromus.org,1994,2025,2025-07-27T12:00:00Z
56,US Player 015,Florida,US,us.player015@carromus.org,1985,2025,2025-08-28T12:00:00Z
57,US Player 016,NewYork,US,us.player016@carromus.org,1976,2025,2025-09-01T12:00:00Z
58,US Player 017,Illinois,US,us.player017@carromus.org,1967,2025,2025-10-02T12:00:00Z
59,US Player 018,Georgia,US,us.player018@carromus.org,1958,2025,2025-11-03T12:00:00Z
60,US Player 019,Arizona,US,us.player019@carromus.org,1949,2025,2025-12-04T12:00:00Z
61,US Player 020,Ohio,US,us.player020@carromus.org,1940,2025,2025-01-05T12:00:00Z
62,US Player 021,Washington,US,us.player021@carromus.org,1931,2025,2025-02-06T12:00:00Z
63,US Player 022,Colorado,US,us.player022@carromus.org,1922,2025,2025-03-07T12:00:00Z
64,US Player 023,Virginia,US,us.player023@carromus.org,1913,2025,2025-04-08T12:00:00Z
65,US Player 024,Michigan,US,us.player024@carromus.org,1904,2025,2025-05-09T12:00:00Z
66,US Player 025,California,US,us.player025@carromus.org,1895,2025,2025-06-10T12:00:00Z
67,US Player 026,Texas,US,us.player026@carromus.org,1886,2025,2025-07-11T12:00:00Z
68,US Player 027,Florida,US,us.player027@carromus.org,1877,2025,2025-08-12T12:00:00Z
69,US Player 028,NewYork,US,us.player028@carromus.org,1868,2025,2025-09-13T12:00:00Z
70,US Player 029,Illinois,US,us.player029@carromus.org,1859,2025,2025-10-14T12:00:00Z
71,US Player 030,Georgia,US,us.player030@carromus.org,1850,2025,2025-11-15T12:00:00Z
72,US Player 031,Arizona,US,us.player031@carromus.org,1841,2025,2025-12-16T12:00:00Z
73,US Player 032,Ohio,US,us.player032@carromus.org,1832,2025,2025-01-17T12:00:00Z
74,US Player 033,Washington,US,us.player033@carromus.org,1823,2025,2025-02-18T12:00:00Z
75,US Player 034,Colorado,US,us.player034@carromus.org,1814,2025,2025-03-19T12:00:00Z
76,US Player 035,Virginia,US,us.player035@carromus.org,1805,2025,2025-04-20T12:00:00Z
77,US Player 036,Michigan,US,us.player036@carromus.org,1796,2025,2025-05-21T12:00:00Z
78,US Player 037,California,US,us.player037@carromus.org,1787,2025,2025-06-22T12:00:00Z
79,US Player 038,Texas,US,us.player038@carromus.org,1778,2025,2025-07-23T12:00:00Z
80,US Player 039,Florida,US,us.player039@carromus.org,1769,2025,2025-08-24T12:00:00Z
81,US Player 040,NewYork,US,us.player040@carromus.org,1760,2025,2025-09-25T12:00:00Z
82,US Player 041,Illinois,US,us.player041@carromus.org,1751,2025,2025-10-26T12:00:00Z
83,US Player 042,Georgia,US,us.player042@carromus.org,1742,2025,2025-11-27T12:00:00Z
84,US Player 043,Arizona,US,us.player043@carromus.org,1733,2025,2025-12-28T12:00:00Z
85,US Player 044,Ohio,US,us.player044@carromus.org,1724,2025,2025-01-01T12:00:00Z
86,US Player 045,Washington,US,us.player045@carromus.org,1715,2025,2025-02-02T12:00:00Z
87,US Player 046,Colorado,US,us.player046@carromus.org,1706,2025,2025-03-03T12:00:00Z
88,US Player 047,Virginia,US,us.player047@carromus.org,1697,2025,2025-04-04T12:00:00Z
89,US Player 048,Michigan,US,us.player048@carromus.org,1688,2025,2025-05-05T12:00:00Z
90,US Player 049,California,US,us.player049@carromus.org,1679,2025,2025-06-06T12:00:00Z
91,US Player 050,Texas,US,us.player050@carromus.org,1670,2025,2025-07-07T12:00:00Z
92,US Player 051,Florida,US,us.player051@carromus.org,1661,2025,2025-08-08T12:00:00Z
93,US Player 052,NewYork,US,us.player052@carromus.org,1652,2025,2025-09-09T12:00:00Z
94,US Player 053,Illinois,US,us.player053@carromus.org,1643,2025,2025-10-10T12:00:00Z
95,US Player 054,Georgia,US,us.player054@carromus.org,1634,2025,2025-11-11T12:00:00Z
96,US Player 055,Arizona,US,us.player055@carromus.org,1625,2025,2025-12-12T12:00:00Z
97,US Player 056,Ohio,US,us.player056@carromus.org,1616,2025,2025-01-13T12:00:00Z
98,US Player 057,Washington,US,us.player057@carromus.org,1607,2025,2025-02-14T12:00:00Z
99,US Player 058,Colorado,US,us.player058@carromus.org,1598,2025,2025-03-15T12:00:00Z
100,US Player 059,Virginia,US,us.player059@carromus.org,1589,2025,2025-04-16T12:00:00Z
